City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
204,chuy,95.0,UY,1665343658.0,52.0,-33.6971,-53.4616,57.29,10.22
205,luderitz,87.0,,1665343659.0,67.0,-26.6481,15.1594,65.25,2.48
206,alcudia,0.0,ES,1665343659.0,72.0,39.8532,3.1214,71.2,4.23
207,thompson,75.0,CA,1665343499.0,43.0,55.7435,-97.8558,51.96,5.75
208,new glasgow,22.0,CA,1665343660.0,43.0,45.5834,-62.6486,56.79,12.66
209,lavrentiya,8.0,RU,1665343660.0,61.0,65.5833,-171.0,28.04,8.46
210,antalaha,34.0,MG,1665343660.0,82.0,-14.9003,50.2788,66.83,8.41
211,sibu,40.0,MY,1665343450.0,100.0,2.3,111.8167,75.51,2.3
212,rocha,59.0,UY,1665343661.0,50.0,-34.4833,-54.3333,55.09,15.39
213,killybegs,65.0,IE,1665343662.0,66.0,54.6333,-8.45,53.31,20.42
214,palmares do sul,100.0,BR,1665343362.0,53.0,-30.2578,-50.5097,58.62,9.48
215,birjand,0.0,IR,1665343662.0,11.0,32.8663,59.2211,50.47,6.91
216,port elizabeth,75.0,ZA,1665343662.0,90.0,-33.918,25.5701,66.09,4.61
217,ilanskiy,93.0,RU,1665343663.0,88.0,56.2358,96.065,37.38,4.85
218,tautira,37.0,PF,1665343663.0,75.0,-17.7333,-149.15,77.04,13.49
219,pisco,0.0,PE,1665343505.0,72.0,-13.7,-76.2167,66.02,9.22
220,tateyama,100.0,JP,1665343663.0,91.0,34.9833,139.8667,65.26,5.64
221,pombas,91.0,CV,1665343664.0,73.0,17.1503,-25.0201,78.58,12.12
222,marystown,0.0,CA,1665343664.0,61.0,47.1666,-55.1483,53.22,12.88
223,aranos,4.0,,1665343664.0,13.0,-24.1333,19.1167,78.26,11.79
224,yumen,0.0,CN,1665343665.0,19.0,40.2833,97.2,38.53,5.26
225,harper,0.0,LR,1665343665.0,86.0,4.375,-7.7169,77.59,5.06
226,acarau,29.0,BR,1665343665.0,69.0,-2.8856,-40.12,83.75,23.0
227,arsikere,100.0,IN,1665343666.0,86.0,13.3139,76.2561,71.53,3.85
228,naryan-mar,100.0,RU,1665343666.0,81.0,67.6713,53.087,43.74,15.84
229,saint george,0.0,US,1665343671.0,29.0,37.1041,-113.5841,82.8,4.0
230,aqtobe,0.0,KZ,1665343672.0,80.0,50.2797,57.2072,33.89,2.24
231,basco,100.0,PH,1665343672.0,77.0,20.4487,121.9702,82.08,24.05
232,keizer,0.0,US,1665343672.0,45.0,44.9901,-123.0262,80.69,4.61
233,cabo san lucas,0.0,MX,1665343413.0,51.0,22.8909,-109.9124,96.1,6.91
234,itoman,75.0,JP,1665343673.0,81.0,26.1247,127.6694,78.82,21.85
235,sibolga,100.0,ID,1665343673.0,84.0,1.7427,98.7792,76.42,2.44
236,primo tapia,26.0,MX,1665343674.0,68.0,32.22,-116.9172,74.95,10.09
237,bratsk,98.0,RU,1665343674.0,84.0,56.1325,101.6142,39.69,3.71
238,kirovskiy,100.0,RU,1665343674.0,78.0,45.0917,133.5136,42.96,6.17
239,codrington,100.0,AU,1665343675.0,87.0,-38.2667,141.9667,40.14,6.22
240,tibati,100.0,CM,1665343675.0,92.0,6.4667,12.6333,68.85,0.25
241,svetlyy,27.0,RU,1665343675.0,79.0,54.675,20.1347,42.85,5.88
242,antofagasta,8.0,CL,1665343676.0,69.0,-23.65,-70.4,60.08,8.5
243,senanga,0.0,ZM,1665343676.0,20.0,-16.1167,23.2667,75.47,8.59
244,venado,90.0,MX,1665343676.0,61.0,22.9333,-101.0833,66.69,9.95
245,quatre cocos,77.0,MU,1665343676.0,68.0,-20.2078,57.7625,72.09,12.57
246,farah,0.0,AF,1665343677.0,12.0,32.5,62.5,59.85,1.52
247,algiers,40.0,DZ,1665343425.0,64.0,36.7525,3.042,71.42,4.61
248,port hawkesbury,0.0,CA,1665343677.0,48.0,45.6169,-61.3485,58.12,10.36
249,havoysund,98.0,NO,1665343678.0,81.0,70.9963,24.6622,44.83,30.02
250,omsukchan,100.0,RU,1665343678.0,85.0,62.5333,155.8,6.37,3.11
251,abu samrah,0.0,SY,1665343678.0,61.0,35.3029,37.1841,66.29,7.52
252,sao joao da barra,69.0,BR,1665343678.0,81.0,-21.6403,-41.0511,78.89,16.53
253,sovetskiy,100.0,RU,1665343679.0,83.0,61.3614,63.5842,46.29,8.63
254,gallup,100.0,US,1665343679.0,82.0,35.5281,-108.7426,63.36,9.22
255,najran,6.0,SA,1665343680.0,20.0,17.4924,44.1277,72.5,3.36
256,noumea,100.0,NC,1665343680.0,83.0,-22.2763,166.4572,69.78,10.96
257,clarence town,98.0,AU,1665343680.0,89.0,-32.5833,151.7833,56.86,0.56
258,tiksi,71.0,RU,1665343680.0,95.0,71.6872,128.8694,11.84,8.19
259,jasper,40.0,US,1665343681.0,36.0,37.2001,-94.3502,77.45,13.8
260,kilindoni,8.0,TZ,1665343681.0,68.0,-7.9139,39.6668,76.44,14.03
261,kayerkan,100.0,RU,1665343682.0,100.0,69.3497,87.7602,33.53,6.91
262,puerto penasco,25.0,MX,1665343682.0,57.0,31.3167,-113.5333,83.91,10.0
263,gyorszemere,99.0,HU,1665343682.0,51.0,47.5526,17.5636,48.2,1.72
264,kushiro,100.0,JP,1665343683.0,78.0,42.975,144.3747,56.08,13.78
265,niquero,87.0,CU,1665343683.0,65.0,20.0431,-77.5828,85.86,2.19
266,soe,17.0,ID,1665343683.0,83.0,-9.8607,124.284,68.23,3.71
267,goderich,99.0,CA,1665343684.0,62.0,43.7501,-81.7165,57.9,8.05
268,ilulissat,75.0,GL,1665343684.0,46.0,69.2167,-51.1,24.82,12.66
269,iqaluit,75.0,CA,1665343684.0,69.0,63.7506,-68.5145,31.73,13.8
270,amambai,11.0,BR,1665343685.0,69.0,-23.1042,-55.2258,75.69,7.99
271,khalkhal,45.0,IR,1665343685.0,42.0,37.6189,48.5258,58.62,4.25
272,forestville,0.0,US,1665343500.0,40.0,38.8451,-76.875,65.19,12.66
